                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7558,                  5.212,                  2.954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 3.2867,                 4.6862,                 3.2471,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079254,              0.0022545,              0.0022545
                      3,                 3.2371,                 4.5722,                  2.993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068361,              0.0033614,              0.0033614
                      4,                 3.0608,                 4.5236,                 2.9249,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057421,              0.0044208,              0.0044208
                      5,                 2.8674,                 4.5324,                  2.892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046433,              0.0054327,              0.0054327
                      6,                 2.7956,                 4.5101,                  2.851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035397,              0.0063971,              0.0063971
                      7,                 2.7696,                   4.49,                 2.8146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024314,               0.007314,               0.007314
                      8,                 2.7262,                 4.4517,                 2.7685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013183,              0.0081833,              0.0081833
                      9,                 2.6676,                 4.4177,                  2.748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     10,                 2.6415,                  4.381,                 2.6796,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     11,                 2.5736,                  4.321,                  2.642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     12,                 2.5543,                 4.3074,                 2.6095,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     13,                 2.5191,                 4.2571,                 2.5741,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     14,                 2.4868,                 4.2357,                 2.5653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     15,                 2.4263,                 4.2032,                 2.5187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     16,                 2.4176,                 4.1672,                 2.4885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     17,                 2.4138,                 4.1543,                 2.4787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     18,                 2.3646,                 4.1303,                   2.47,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     19,                 2.3676,                 4.1125,                 2.4582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     20,                 2.3533,                 4.0757,                 2.4261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     21,                 2.3384,                 4.0623,                 2.4136,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     22,                  2.353,                 4.0707,                 2.4096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     23,                 2.3251,                 4.0398,                 2.3867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     24,                 2.3056,                  4.045,                 2.3959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     25,                 2.2937,                 4.0361,                 2.3805,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     26,                 2.3042,                 4.0083,                 2.3497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     27,                 2.2881,                 4.0037,                 2.3629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     28,                 2.2962,                 3.9748,                 2.3557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     29,                 2.2558,                 3.9672,                 2.3352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                     30,                 2.2375,                 3.9594,                  2.331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     31,                 2.2692,                 3.9483,                 2.3383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                     32,                 2.2319,                 3.9222,                 2.3261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     33,                 2.2401,                 3.9079,                 2.3125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                     34,                 2.2379,                 3.8993,                 2.3022,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     35,                 2.2309,                 3.8828,                 2.3011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                     36,                 2.2154,                 3.8937,                    2.3,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     37,                 2.2125,                 3.8685,                 2.2777,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     38,                 2.2069,                 3.8625,                 2.2735,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     39,                 2.1806,                  3.852,                 2.2798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                     40,                 2.1935,                 3.8488,                 2.2675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     41,                 2.3272,                 4.1552,                 2.5164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                     42,                 2.2992,                 4.0312,                 2.5245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     43,                 2.3109,                 3.9892,                 2.5156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                     44,                  2.276,                 3.9746,                 2.5032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     45,                 2.2704,                 3.9612,                 2.5018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                     46,                 2.2748,                 3.9385,                 2.4807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     47,                 2.2836,                 3.9367,                   2.48,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     48,                 2.2592,                 3.9103,                 2.4616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                     49,                 2.2445,                 3.9009,                 2.4592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                     50,                 2.2488,                 3.8829,                 2.4532,                0.00996,                0.14757,                0.01796,                0.00802,                 2.4428,                 4.1328,                 2.9263,               0.000496,               0.000496,               0.000496
